X(1:24),Y,Z,,X(25:49),Y,Z
3.2947,0.27525,-7.6904,,-2.0083,6.3208,-0.49375
3.3275,0.6848,-7.392,,-2.3838,6.3281,-0.16959
3.4604,1.069,-7.0941,,-2.8335,6.25,0.074314
3.4736,1.4456,-6.7645,,-3.2843,6.2863,0.42742
3.5116,1.8049,-6.5184,,-3.7081,6.2138,0.71265
3.539,2.1795,-6.1704,,-4.1328,6.123,0.94727
3.4489,2.5305,-5.9337,,-4.5032,6.0657,1.3562
3.3902,2.8187,-5.5572,,-4.8611,5.9681,1.6544
3.322,3.1629,-5.3295,,-5.166,5.7754,2.0117
3.125,3.5146,-5.0119,,-5.5391,5.5957,2.2188
3.0195,3.8555,-4.6461,,-5.7649,5.3997,2.5472
2.7537,4.1356,-4.4359,,-6.0449,5.1361,2.8892
2.5797,4.4211,-4.0772,,-6.2562,4.9486,3.0777
2.3156,4.6564,-3.7422,,-6.4158,4.7161,3.4737
2.0533,4.8696,-3.4509,,-6.4555,4.4563,3.6665
1.7339,5.1431,-3.252,,-6.5262,4.2339,3.9355
1.4441,5.3241,-2.8416,,-6.5211,3.8825,4.2529
1.0938,5.4784,-2.6466,,-6.5069,3.6005,4.6511
0.66993,5.7251,-2.2978,,-6.4063,3.2813,4.8438
0.23585,5.8117,-2.0067,,-6.3306,2.9344,5.1965
-0.14824,5.9675,-1.6767,,-6.0938,2.6068,5.447
-0.54688,6.1318,-1.4223,,-5.8185,2.2582,5.8426
-1.0078,6.1816,-1.0762,,-5.4725,1.8863,6.09
-1.4474,6.1945,-0.80181,,-5.1694,1.5161,6.4052
,,,,-4.7729,1.1238,6.7469
